Main Category	Main Category	Text Relation	Medium	Medium	Sub Category	Sub Category	Formal Argument	Formal Argument	Direction	Relation	RelationGenette
											
Intertextuality in the narrower sense											
Work	Work	2	Text	Text	Single text	Single text	Wyss_Swiss-Family-Robinson	Defoe_Robinson-Crusoe	>	alludes	
Work	Work	2	Text	Text	Single text	Single text	Mann_Lotte-in-Weimar	Goethe_Die-Leiden-des-jungen-Werther	>	alludes	
Work	Work	2	Text	Text	Single text	Single text	Mann_Doktor-Faustus	Goethe_Faust	>	alludes/parallels	transforms
Work	Work	2	Text	Text	Single text	Single text	Joyce_Ulysses	Homer_Ulysses	>	parallels	transforms
Work	Work	1	Text	Music	Single text	Piece of music	Büchner_Woyzeck	Berg_Wozzeck	<	quotes/paraphrases	
Work	Work	1	Text	Music	Single text	Piece of music	Zweig_Georg-Friedrich-Händels-Auferstehung	Händel_Oratorium-Messias	>	alludes	
Work	Work	1	Text	Art	Single text	Art work	Dante_La-divina-commedia	Michelino_La-divina-commedia-di-Dante	<	paraphrases/alludes	
Work	Work	1	Text	Art	Single text	Art work	Chevalier_Girl-with-a-perl-earring	Vermeer_Meisje-met-de-parel	>	alludes	
Work	Work	0	Music	Music	Piece of music	Piece of music	Mussorgsky_Pictures-at-an-Exhibition	Ravel_Pictures-at-an-Exhibition	<	quotes	
Work	Work	0	Music	Art	Piece of music	Art work					
Work	Work	0	Art	Art	Art work	Art work	Banksy_Paranoid-Pictures	Warhol_Paramount-Pictures	>	quotes indirectly	parodies
Work	Segment	2	Text	Text	Single text	Text passage	Schmidt_Bottom's-Dream	Shakespeare_Midsummer-Night's-Dream	>	quotes	
Work	Segment	2	Text	Text	Single text	Text passage	Marías_Corazón-tan-blanco	Shakespeare_Macbeth_To wear a heart so white	>	quotes	
Work	Segment	1	Text	Music	Single text	Sequence of music	Zweig_Georg-Friedrich-Händels-Auferstehung	Händel_Oratorium-Messias_Halleluja	>	quotes	
Work	Segment	1	Text	Music	Single text	Sequence of music	Hans-Ulrich_Treichel-Tristan-chord	Tristan-chord	>	alludes	
Work	Segment	1	Text	Art	Single text	Art section	Tucholsky_Das-Lächeln-der-Mona-Lisa	da-Vinci_Mona-Lisa_mouth	>	paraphrases/alludes	
Work	Segment	1	Music	Text	Piece of music	Text passage	Schubert_Gretchen-am-Spinnrade	Goethe_Faust-Passage	>	quotes/parallels	
Work	Segment	0	Music	Music	Piece of music	Sequence of music					
Work	Segment	0	Music	Art	Piece of music	Art section					
Work	Segment	1	Art	Text	Art work	Text passage	Da-Vinci_Mona-Lisa	Brown_The-Da-Vinci-Code	<	paraphrases/alludes	
Work	Segment	1	Art	Text	Art work	Text passage	Isenheimer Altar	Lucase:23	>	quotes/paraphrases	
Work	Segment	1	Art	Text	Art work	Text passage	Antique_thorn-extractor	Mann_Tod-in-Venedig_thorn-extractor-reflections	<	paraphrases/alludes	
Work	Segment	0	Art	Music	Art work	Sequence of music					
Work	Segment	0	Art	Art	Art work	Art section					
